Date,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_median,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus1
1752-01-31,72.5,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,80.0,-58.400000000000006,890.6399999999999,58.3,83.3
1752-02-29,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,74.4,10.799999999999997,850.0,83.3,118.3
1752-03-31,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,79.4,42.8,1850.0,118.3,98.8
1752-04-30,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,83.9,4.799999999999997,1605.25,98.8,99.5
1752-05-31,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,83.9,-1.7000000000000028,380.74,99.5,66.0
1752-06-30,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,83.9,-18.5,1122.74,66.0,130.7
1752-07-31,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,78.3,20.19999999999999,5308.339999999998,130.7,48.8
1752-08-31,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,78.3,-50.900000000000006,10893.699999999997,48.8,45.2
1752-09-30,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,69.65,6.0,6720.569999999999,45.2,77.7
1752-10-31,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,69.65,39.0,1069.21,77.7,62.7
1752-11-30,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,75.5,15.200000000000003,1281.25,62.7,66.7
1752-12-31,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,75.5,-6.599999999999994,241.0,66.7,73.3
1753-01-31,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,72.2,15.0,59.559999999999924,73.3,53.3
1753-02-28,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,75.5,-30.0,443.55999999999995,53.3,76.2
1753-03-31,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,70.0,-42.099999999999994,924.4100000000003,76.2,63.3
1753-04-30,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,70.0,-35.5,690.8200000000004,63.3,60.0
1753-05-31,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,66.35,-39.5,177.30000000000013,60.0,52.8
1753-06-30,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,64.65,-13.200000000000003,62.73000000000002,52.8,36.7
1753-07-31,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,63.0,-93.99999999999999,311.04999999999984,36.7,65.0
1753-08-31,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,61.35,16.200000000000003,1060.0999999999997,65.0,46.7
1753-09-30,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,63.0,1.5,1135.7799999999997,46.7,41.7
1753-10-31,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,63.0,-36.0,359.8899999999999,41.7,33.3
1753-11-30,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,61.35,-29.400000000000006,95.5600000000001,33.3,11.2
1753-12-31,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,56.65,-55.5,558.97,11.2,0.0
1754-01-31,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,53.05,-73.3,613.8499999999999,0.0,5.0
1754-02-28,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,49.75,-48.3,150.44,5.0,2.8
1754-03-31,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,44.2,-73.4,29.84,2.8,22.8
1754-04-30,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,39.2,-40.5,404.84,22.8,34.5
1754-05-31,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,35.0,-25.5,536.89,34.5,44.5
1754-06-30,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,33.9,-8.299999999999997,236.89,44.5,31.3
1754-07-31,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,33.9,-5.400000000000002,274.24,31.3,20.5
1754-08-31,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,32.3,-44.5,290.88,20.5,13.7
1754-09-30,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,27.05,-33.0,162.88000000000002,13.7,40.2
1754-10-31,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,21.65,-1.5,748.4900000000002,40.2,22.0
1754-11-30,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,21.65,-11.299999999999997,1033.4900000000002,22.0,7.0
1754-12-31,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,21.25,-4.199999999999999,556.2400000000001,7.0,17.0
1755-01-31,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,21.25,17.0,325.0,17.0,18.7
1755-02-28,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,21.25,13.7,102.89,18.7,11.3
1755-03-31,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,21.25,8.5,57.64999999999998,11.3,10.8
1755-04-30,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,21.25,-12.0,55.00999999999998,10.8,0.0
1755-05-31,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,19.6,-34.5,116.89000000000001,0.0,0.0
1755-06-30,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,17.85,-44.5,116.64000000000001,0.0,14.3
1755-07-31,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,15.35,-17.0,204.49,14.3,5.3
1755-08-31,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,14.0,-15.2,285.49,5.3,29.7
1755-09-30,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,12.5,16.0,676.3599999999999,29.7,39.5
1755-10-31,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,12.8,-0.7000000000000028,691.3999999999999,39.5,11.3
1755-11-30,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,12.8,-10.7,891.28,11.3,33.3
1755-12-31,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,11.3,26.299999999999997,1279.2399999999998,33.3,20.8
1756-01-31,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,12.8,3.8000000000000007,640.2499999999998,20.8,11.8
1756-02-29,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,12.8,-6.899999999999999,237.24999999999991,11.8,9.0
1756-03-31,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,11.55,-2.3000000000000007,88.84,9.0,15.7
1756-04-30,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,11.55,4.899999999999999,52.73,15.7,20.8
1756-05-31,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,13.05,20.8,70.9,20.8,21.5
1756-06-30,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,15.0,21.5,26.500000000000014,21.5,6.0
1756-07-31,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,18.25,-8.3,240.74,6.0,10.7
1756-08-31,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,18.25,5.3999999999999995,262.34,10.7,19.7
1756-09-30,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,18.25,-10.0,103.08999999999999,19.7,23.8
1756-10-31,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,17.7,-15.7,97.81000000000002,23.8,28.3
1756-11-30,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,17.7,17.0,37.06000000000002,28.3,15.7
1756-12-31,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,20.25,-17.599999999999998,179.01000000000005,15.7,23.5
1757-01-31,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,17.7,2.6999999999999993,219.60000000000005,23.5,35.3
1757-02-28,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,17.7,23.499999999999996,200.07999999999993,35.3,43.7
1757-03-31,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,20.25,34.7,209.8,43.7,50.0
1757-04-30,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,21.15,34.3,110.25000000000006,50.0,63.5
1757-05-31,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,22.5,42.7,221.93999999999997,63.5,21.3
1757-06-30,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,23.65,-0.1999999999999993,1963.0900000000001,21.3,41.7
1757-07-31,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,23.65,35.7,2197.0,41.7,85.5
1757-08-31,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,26.05,74.8,2334.6,85.5,66.2
1757-09-30,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,31.799999999999997,46.5,2290.93,66.2,54.2
1757-10-31,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,38.5,30.400000000000002,516.4899999999999,54.2,107.8
1757-11-30,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,42.7,79.5,3016.9599999999996,107.8,55.8
1757-12-31,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,46.85,40.099999999999994,5576.959999999999,55.8,62.7
1758-01-31,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,52.1,39.2,2751.61,62.7,86.7
1758-02-28,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,55.0,51.400000000000006,623.6100000000001,86.7,81.7
1758-03-31,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,59.25,38.0,601.0,81.7,120.5
1758-04-30,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,63.1,70.5,1530.4399999999998,120.5,77.3
1758-05-31,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,64.85,13.799999999999997,3371.6800000000003,77.3,75.0
1758-06-30,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,71.75,53.7,1871.5300000000002,75.0,73.3
1758-07-31,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,76.15,31.599999999999994,8.179999999999996,73.3,64.5
1758-08-31,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,76.15,-21.0,80.32999999999997,64.5,104.2
1758-09-30,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,74.15,38.0,1653.5300000000002,104.2,62.8
1758-10-31,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,76.15,8.599999999999994,3290.0500000000006,62.8,71.7
1758-11-30,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,76.15,-36.099999999999994,1793.1700000000005,71.7,71.7
1758-12-31,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,74.15,15.900000000000006,79.21000000000011,71.7,80.5
1759-01-31,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,74.15,17.799999999999997,77.43999999999996,80.5,73.3
1759-02-28,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,76.15,-13.400000000000006,129.28,73.3,78.0
1759-03-31,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,74.15,-3.700000000000003,73.93000000000006,78.0,78.3
1759-04-30,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,74.15,-42.2,22.180000000000028,78.3,81.7
1759-05-31,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,74.15,4.400000000000006,11.650000000000036,81.7,83.3
1759-06-30,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,74.15,8.299999999999997,14.120000000000019,83.3,85.0
1759-07-31,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,75.65,11.700000000000003,5.449999999999991,85.0,118.8
1759-08-31,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,78.15,54.3,1145.33,118.8,128.7
1759-09-30,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,79.4,24.499999999999986,1240.4499999999996,128.7,99.5
1759-10-31,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,79.4,36.7,950.6499999999992,99.5,77.2
1759-11-30,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,81.1,5.5,1349.9299999999992,77.2,95.0
1759-12-31,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,81.1,23.299999999999997,814.1299999999998,95.0,112.2
1760-01-31,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,82.5,31.700000000000003,612.6800000000001,112.2,99.2
1760-02-29,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,84.15,25.900000000000006,464.8400000000001,99.2,124.5
1760-03-31,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,90.0,46.5,809.0899999999998,124.5,97.2
1760-04-30,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.1,18.900000000000006,1385.3799999999997,97.2,120.0
1760-05-31,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,98.2,38.3,1265.1299999999997,120.0,80.5
1760-06-30,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,99.35,-2.799999999999997,2080.09,80.5,110.0
1760-07-31,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,99.35,25.0,2430.5,110.0,126.0
1760-08-31,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,104.75,7.200000000000003,1126.25,126.0,102.2
1760-09-30,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,104.75,-26.499999999999986,822.4399999999998,102.2,84.3
1760-10-31,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,100.85,-15.200000000000003,886.85,84.3,99.5
1760-11-30,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,100.7,22.299999999999997,551.4500000000003,99.5,101.7
1760-12-31,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,100.85,6.700000000000003,235.88000000000008,101.7,116.7
1761-01-31,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,101.95,4.5,229.84,116.7,151.7
1761-02-28,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,101.95,52.499999999999986,1449.999999999999,151.7,134.5
1761-03-31,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,106.1,10.0,1520.8399999999988,134.5,119.5
1761-04-30,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,106.1,22.299999999999997,520.8399999999997,119.5,178.7
1761-05-31,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,113.35,58.69999999999999,3729.6399999999985,178.7,165.5
1761-06-30,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,113.35,85.0,3678.8799999999983,165.5,156.8
1761-07-31,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,118.1,46.80000000000001,249.9299999999995,156.8,151.8
1761-08-31,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,122.75,25.80000000000001,100.6899999999998,151.8,167.8
1761-09-30,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,127.0,65.60000000000001,281.0,167.8,147.8
1761-10-31,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,143.1,63.500000000000014,656.0,147.8,149.5
1761-11-30,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.75,50.0,402.89,149.5,76.7
1761-12-31,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,150.6,-25.0,5302.73,76.7,73.0
1762-01-31,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,150.6,-43.7,5313.529999999999,73.0,121.3
1762-02-28,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,150.6,-30.39999999999999,2346.58,121.3,76.2
1762-03-31,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,148.65,-58.3,4366.9,76.2,100.3
1762-04-30,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,148.65,-19.200000000000003,2614.8199999999993,100.3,66.5
1762-05-31,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,148.65,-112.19999999999999,1723.2499999999995,66.5,128.5
1762-06-30,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,134.55,-37.0,4986.44,128.5,56.3
1762-07-31,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,124.9,-100.50000000000001,9056.84,56.3,112.8
1762-08-31,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,110.8,-39.000000000000014,8405.09,112.8,114.2
1762-09-30,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,106.55,-53.60000000000001,3194.21,114.2,115.5
1762-10-31,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,106.55,-32.30000000000001,3.6500000000000083,115.5,129.7
1762-11-30,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,106.55,-19.80000000000001,203.32999999999967,129.7,128.7
1762-12-31,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,106.55,51.999999999999986,202.63999999999967,128.7,94.2
1763-01-31,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,113.5,21.200000000000003,1191.249999999999,94.2,53.2
1763-02-28,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,113.5,-68.1,2871.249999999999,53.2,57.0
1763-03-31,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,106.55,-19.200000000000003,1695.44,57.0,54.8
1763-04-30,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,106.55,-45.5,19.27999999999999,54.8,54.5
1763-05-31,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,103.5,-12.0,4.93000000000001,54.5,59.7
1763-06-30,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,103.5,-68.8,27.13000000000003,59.7,90.3
1763-07-31,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,76.95,34.0,963.3999999999997,90.3,44.2
1763-08-31,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,92.25,-68.6,3061.5699999999993,44.2,113.5
1763-09-30,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,75.0,-0.7000000000000028,6927.699999999999,113.5,77.2
1763-10-31,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,75.0,-38.3,6120.179999999999,77.2,101.5
1763-11-30,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,68.45,-28.19999999999999,1908.1799999999998,101.5,102.3
1763-12-31,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,68.45,-26.39999999999999,591.1299999999999,102.3,99.5
1764-01-31,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,68.45,5.299999999999997,8.479999999999979,99.5,99.5
1764-02-29,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,68.45,46.3,7.839999999999984,99.5,67.0
1764-03-31,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,99.5,83.75,10.0,1056.25,67.0,57.3
1764-04-30,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,99.5,67.0,83.75,2.5,1150.3400000000001,57.3,73.8
1764-05-31,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,99.5,67.0,57.3,83.75,19.299999999999997,366.34000000000003,73.8,50.0
1764-06-30,90.3,44.2,113.5,77.2,101.5,102.3,99.5,99.5,67.0,57.3,73.8,83.75,-9.700000000000003,838.6899999999998,50.0,50.0
1764-07-31,44.2,113.5,77.2,101.5,102.3,99.5,99.5,67.0,57.3,73.8,50.0,83.75,-40.3,566.4399999999998,50.0,50.0
1764-08-31,113.5,77.2,101.5,102.3,99.5,99.5,67.0,57.3,73.8,50.0,50.0,75.5,5.799999999999997,0.0,50.0,47.0
1764-09-30,77.2,101.5,102.3,99.5,99.5,67.0,57.3,73.8,50.0,50.0,50.0,75.5,-66.5,9.0,47.0,46.7
1764-10-31,101.5,102.3,99.5,99.5,67.0,57.3,73.8,50.0,50.0,50.0,47.0,70.4,-30.5,9.089999999999998,46.7,43.3
1764-11-30,102.3,99.5,99.5,67.0,57.3,73.8,50.0,50.0,50.0,47.0,46.7,62.15,-58.2,11.650000000000036,43.3,42.8
1764-12-31,99.5,99.5,67.0,57.3,73.8,50.0,50.0,50.0,47.0,46.7,43.3,53.65,-59.5,11.810000000000038,42.8,40.0
